Score	Num
0.041	305610
0.042	140546
0.043	8170
0.044	4700
0.045	4088
0.046	3110
0.047	3458
0.048	2860
0.049	3208
0.050	2146
0.051	1866
0.052	1858
0.053	1922
0.054	1900
0.055	2386
0.056	2444
0.057	2640
0.058	1544
0.059	2774
0.060	2866
0.061	1732
0.062	2228
0.063	2552
0.064	3210
0.065	3498
0.066	1048
0.067	1850
0.068	2622
0.069	1396
0.070	1922
0.071	956
0.072	1008
0.073	1854
0.074	2004
0.075	986
0.076	534
0.077	802
0.078	752
0.079	982
0.080	820
0.081	1546
0.082	1520
0.083	1958
0.084	1910
0.085	1084
0.086	674
0.087	554
0.088	862
0.089	1564
0.090	1428
0.091	1114
0.092	1924
0.093	884
0.094	1710
0.095	1334
0.096	856
0.097	1122
0.098	476
0.099	596
0.100	1618
0.101	1224
0.102	1302
0.103	1536
0.104	846
0.105	356
0.106	866
0.107	526
0.108	642
0.109	1036
0.110	1064
0.111	468
0.112	602
0.113	1238
0.114	1210
0.115	818
0.116	798
0.117	1096
0.118	368
0.119	312
0.120	328
0.121	256
0.122	262
0.123	784
0.124	384
0.125	560
0.126	1144
0.127	652
0.128	404
0.129	934
0.130	564
0.131	432
0.132	846
0.133	324
0.134	686
0.135	864
0.136	648
0.137	462
0.138	548
0.139	486
0.140	832
0.141	714
0.142	808
0.143	570
0.144	414
0.145	1118
0.146	352
0.147	592
0.148	282
0.149	266
0.150	294
0.151	416
0.152	544
0.153	354
0.154	848
0.155	726
0.156	1044
0.157	516
0.158	358
0.159	264
0.160	318
0.161	636
0.162	574
0.163	866
0.164	578
0.165	576
0.166	850
0.167	686
0.168	578
0.169	1302
0.170	806
0.171	354
0.172	366
0.173	308
0.174	934
0.175	798
0.176	498
0.177	1052
0.178	1058
0.179	752
0.180	684
0.181	364
0.182	288
0.183	448
0.184	504
0.185	590
0.186	842
0.187	346
0.188	762
0.189	332
0.190	310
0.191	964
0.192	696
0.193	922
0.194	992
0.195	424
0.196	510
0.197	228
0.198	214
0.199	286
0.200	982
0.201	324
0.202	290
0.203	720
0.204	382
0.205	268
0.206	520
0.207	258
0.208	196
0.209	478
0.210	904
0.211	300
0.212	260
0.213	268
0.214	266
0.215	692
0.216	674
0.217	562
0.218	542
0.219	882
0.220	580
0.221	788
0.222	776
0.223	996
0.224	462
0.225	364
0.226	330
0.227	272
0.228	268
0.229	546
0.230	244
0.231	212
0.232	490
0.233	624
0.234	316
0.235	238
0.236	422
0.237	506
0.238	534
0.239	274
0.240	434
0.241	330
0.242	382
0.243	224
0.244	480
0.245	184
0.246	166
0.247	200
0.248	252
0.249	432
0.250	216
0.251	452
0.252	292
0.253	598
0.254	520
0.255	538
0.256	372
0.257	932
0.258	200
0.259	154
0.260	420
0.261	406
0.262	452
0.263	298
0.264	150
0.265	614
0.266	378
0.267	196
0.268	452
0.269	240
0.270	186
0.271	806
0.272	430
0.273	224
0.274	592
0.275	978
0.276	310
0.277	220
0.278	306
0.279	750
0.280	278
0.281	170
0.282	178
0.283	266
0.284	392
0.285	656
0.286	628
0.287	298
0.288	234
0.289	352
0.290	340
0.291	722
0.292	330
0.293	508
0.294	668
0.295	522
0.296	462
0.297	478
0.298	298
0.299	164
0.300	200
0.301	380
0.302	206
0.303	540
0.304	426
0.305	234
0.306	518
0.307	266
0.308	170
0.309	240
0.310	276
0.311	394
0.312	240
0.313	192
0.314	176
0.315	286
0.316	402
0.317	280
0.318	418
0.319	624
0.320	376
0.321	282
0.322	282
0.323	648
0.324	214
0.325	484
0.326	134
0.327	548
0.328	366
0.329	324
0.330	284
0.331	660
0.332	210
0.333	206
0.334	446
0.335	194
0.336	240
0.337	592
0.338	1012
0.339	648
0.340	304
0.341	522
